id;start_date;end_date;tax_config
1;2021-04-27;2021-04-28;../fake-data/blob/hipster.txt
2;2021-04-28;2021-04-27;../fake-data/blob/hipster.txt
3;2021-04-27;2021-04-27;../fake-data/blob/hipster.txt
4;2021-04-28;2021-04-28;../fake-data/blob/hipster.txt
5;2021-04-27;2021-04-27;../fake-data/blob/hipster.txt
6;2021-04-28;2021-04-28;../fake-data/blob/hipster.txt
7;2021-04-27;2021-04-27;../fake-data/blob/hipster.txt
8;2021-04-27;2021-04-28;../fake-data/blob/hipster.txt
9;2021-04-27;2021-04-27;../fake-data/blob/hipster.txt
10;2021-04-27;2021-04-27;../fake-data/blob/hipster.txt
