id;payment_type;disbursement_date;salary_month;salary_year;approval_status;disbursement_amount;is_deleted;arrear_pf;tax_deduction;deduct_tax_upon_payment;arrear_salary_item_id
1;ALONGSIDE_MONTHLY_SALARY;2022-03-07;JUNE;2013;PENDING;61681015;false;80879759;38846398;true;1
2;INDIVIDUAL;2022-03-06;OCTOBER;1921;NOT_APPROVED;6311094;true;53489353;68664506;true;2
3;ALONGSIDE_MONTHLY_SALARY;2022-03-07;JANUARY;2274;APPROVED;28645942;true;50723306;13153422;true;3
4;ALONGSIDE_MONTHLY_SALARY;2022-03-06;SEPTEMBER;2216;APPROVED;14088874;false;36814354;84382172;false;4
5;ALONGSIDE_MONTHLY_SALARY;2022-03-06;OCTOBER;2117;APPROVED;15351207;false;86294825;62717548;true;5
6;ALONGSIDE_MONTHLY_SALARY;2022-03-07;NOVEMBER;2181;APPROVED;30283577;true;29333272;87040728;true;6
7;ALONGSIDE_MONTHLY_SALARY;2022-03-06;SEPTEMBER;2264;APPROVED;51453930;false;12416264;50256959;true;7
8;ALONGSIDE_MONTHLY_SALARY;2022-03-06;MARCH;2169;PENDING;6470525;false;37768342;27994179;true;8
9;INDIVIDUAL;2022-03-06;JUNE;2002;APPROVED;74863877;true;86881852;59765346;true;9
10;INDIVIDUAL;2022-03-07;JUNE;1904;APPROVED;2999159;true;86505271;13075994;false;10
