id;title;arrear_amount;has_pf_arrear_deduction;pf_arrear_deduction;is_festival_bonus;is_deleted;arrear_salary_master_id;employee_id
1;capacitor Account;3401066;true;92890;true;true;1;1
2;disintermediate Lead Home;2978501;false;88957;false;false;2;2
3;solutions Montana;540576;false;14289;true;true;3;3
4;Concrete intangible ivory;4012837;false;72607;true;false;4;4
5;Self-enabling;4152292;true;88299;true;true;5;5
6;Accounts Jewelery Checking;5755492;true;52915;false;false;6;6
7;Awesome niches;2983369;true;25155;false;false;7;7
8;Branding Practical Licensed;3268699;true;88024;true;false;8;8
9;Cheese teal;7187552;true;80389;false;false;9;9
10;Salad circuit driver;3060835;true;52482;true;false;10;10
