id;month;year;total_working_days;total_leave_days;total_absent_days;total_fraction_days;attendance_regularisation_start_date;attendance_regularisation_end_date
1;86690;48073;58149;12119;7958;13181;2021-02-17;2021-02-16
2;88174;62935;76483;74435;19020;52968;2021-02-16;2021-02-16
3;69974;96414;73338;36784;87982;49998;2021-02-16;2021-02-16
4;57952;90203;45806;8867;28366;29673;2021-02-16;2021-02-17
5;19814;26597;85330;93421;91397;40859;2021-02-16;2021-02-17
6;23366;42667;54012;74530;67416;25113;2021-02-16;2021-02-17
7;25555;16858;35123;50433;96895;80284;2021-02-16;2021-02-17
8;68338;77512;14425;63635;37708;54710;2021-02-17;2021-02-17
9;94929;65219;36451;41533;2060;28139;2021-02-16;2021-02-16
10;87187;0;65353;24774;54399;28184;2021-02-17;2021-02-17
