id;band_name;min_salary;max_salary;welfare_fund;mobile_celling;created_at;updated_at
1;microchip;17221;95671;43246;69184;2021-02-15;2021-02-14
2;Shirt;98646;45226;83158;77388;2021-02-14;2021-02-15
3;best-of-breed Mount;75873;68335;71066;50579;2021-02-15;2021-02-14
4;Tasty Ergonomic;61347;97291;14438;88239;2021-02-14;2021-02-14
5;bluetooth frictionless Ports;56705;98642;68771;88655;2021-02-15;2021-02-14
6;scale Health;25818;17457;42757;57619;2021-02-14;2021-02-15
7;Clothing Books Peso;24820;82260;30345;83412;2021-02-15;2021-02-14
8;connecting Bypass mobile;35435;44114;14944;37615;2021-02-14;2021-02-14
9;Metal;33253;8371;8727;64599;2021-02-15;2021-02-14
10;Inverse compressing AI;38225;89107;49143;32438;2021-02-15;2021-02-14
