id;building_name;building_location;remarks;created_at;updated_at
1;Multi-channelled Kids calculate;white;Awesome;2022-06-05T09:14:58;2022-06-05T17:14:33
2;Fantastic Spurs;Market;Strategist;2022-06-05T19:35:28;2022-06-05T16:17:05
3;Awesome enterprise Mall;Manager Engineer Incredible;web-readiness;2022-06-05T09:07:46;2022-06-05T10:14:40
4;Supervisor program;intranet Grocery deposit;Berkshire orange;2022-06-05T19:46:53;2022-06-05T17:58:13
5;Account invoice;B2B Wooden Assistant;cross-platform Personal;2022-06-05T08:27:36;2022-06-06T01:07:27
6;Accountability Operations Montana;Russian;Chief;2022-06-05T15:51:23;2022-06-05T20:26:56
7;convergence;Arkansas Pants Innovative;South Bedfordshire brand;2022-06-05T09:13:24;2022-06-05T23:37:07
8;Bedfordshire Soap reboot;Division Korean;solution-oriented enhance;2022-06-05T13:15:31;2022-06-05T13:26:23
9;Borders 24 Vietnam;pixel programming;enhance;2022-06-05T15:19:08;2022-06-06T00:22:29
10;Avon violet;bypass Chicken;empower;2022-06-06T00:17:07;2022-06-05T08:52:14
