id;name_of_degree;subject;institute;year_of_degree_completion
1;reboot;Colombia;Strategist Lakes;AGP
2;Optimized Salad FTP;up;Ergonomic Representative SQL;empower violet
3;model Metal Fresh;Gorgeous JSON Illinois;Administrator Pines;national Assimilated Wooden
4;ADP;Manager Dale white;sky Jordanian wireless;expedite white Cheese
5;harness;Auto navigate cross-platform;Product Avon;Manager deposit Rustic
6;quantify alarm Senior;Direct lime wireless;Internal Bahamian;Fresh Steel Wall
7;Cambridgeshire Car;envisioneer back-end Oregon;extend Paradigm Territories;Cotton
8;calculating;Berkshire;e-services Spring;Accountability Cliff input
9;Soft;Metal;facilitate Salad;Innovative state
10;visualize Car Books;visionary;Representative yellow Gloves;Intelligent parsing Shirt
