id;employee_category;sequence_start;sequence_end;last_sequence;has_full_filled;created_at;updated_at;last_created_pin;created_by_id
1;PART_TIME;neural SMTP;Tasty;Savings;true;2022-10-30T11:38:21;2022-10-30T12:14:11;invoice;1
2;INTERN;hacking;Accounts syndicate Savings;integrate;true;2022-10-31T01:19:40;2022-10-31T01:44:50;Bedfordshire;2
3;PART_TIME;Account Baby motivating;reintermediate;Cheese District Cotton;false;2022-10-31T09:35:52;2022-10-30T15:19:18;enterprise;1
4;INTERN;virtual Concrete;harness;content-based;false;2022-10-31T07:49:14;2022-10-31T04:47:31;extend redundant withdrawal;2
5;INTERN;AGP withdrawal;Island;24 Keyboard;true;2022-10-30T10:20:30;2022-10-30T21:12:21;structure initiative array;1
6;CONTRACTUAL_EMPLOYEE;Bolivia Frozen stable;Bedfordshire navigating;Skyway Awesome;false;2022-10-30T09:57:10;2022-10-31T03:19:40;invoice Pants;2
7;CONSULTANTS;Shirt Awesome invoice;Incredible mobile Car;withdrawal compress Expressway;true;2022-10-31T01:34:53;2022-10-30T11:21:03;cyan;2
8;CONTRACTUAL_EMPLOYEE;transmit Account open;Books Account;distributed;false;2022-10-30T15:10:00;2022-10-30T23:13:54;Reduced;2
9;CONSULTANTS;Markets digital;Guinea Fantastic Plastic;supply-chains violet;true;2022-10-31T03:44:12;2022-10-30T19:38:50;Suriname;1
10;CONSULTANTS;Illinois incremental Metal;optimal indigo;Sao Bhutanese Quality;true;2022-10-30T18:56:14;2022-10-30T16:57:06;Universal Technician driver;2
