id;month;year;main_gross_salary;main_gross_basic_salary;main_gross_house_rent;main_gross_medical_allowance;main_gross_conveyance_allowance;absent_days;fraction_days;payable_gross_salary;payable_gross_basic_salary;payable_gross_house_rent;payable_gross_medical_allowance;payable_gross_conveyance_allowance;arrear_salary;pf_deduction;tax_deduction;welfare_fund_deduction;mobile_bill_deduction;other_deduction;total_deduction;net_pay;remarks;pf_contribution;gf_contribution;provision_for_festival_bonus;provision_for_leave_encashment;provishion_for_project_bonus;living_allowance;other_addition;salary_adjustment;provident_fund_arrear;entertainment;utility
1;DECEMBER;64637;6062;83760;50291;46557;65138;30517;1141;47157;60907;70343;65820;88726;46244;13007;21400;35295;33468;87301;79431;9673;intelligence Loan generating;62398;95056;32964;99102;61840;88010;16963;69144;49414;32353;58524
2;MARCH;4211;81821;44618;49675;23171;86992;54121;59441;20002;27909;2641;96350;53584;4882;55664;10088;81541;16337;37159;18315;23693;system;29325;88269;73035;10891;21281;57619;38779;26889;78513;13268;46128
3;JANUARY;20450;85594;14746;85492;86505;78156;7036;50180;59450;61687;72372;52281;48395;77962;24837;57540;34635;45264;2457;1322;57073;Unbranded Hawaii Savings;34267;78899;37675;87324;95167;13843;77318;91430;90938;78336;98583
4;DECEMBER;70067;87451;29367;63422;74821;46211;67168;10872;30158;49470;60660;43593;12368;32791;52461;57135;4330;27180;95223;42483;45558;Metal;24566;22870;7232;18773;9994;55574;81900;76217;3118;30184;16595
5;FEBRUARY;24800;35653;97281;25233;84024;62343;13678;65330;99695;88428;7209;39543;34693;51891;61090;8963;95655;73652;61589;62389;32885;enterprise bypassing maximized;64606;3027;53506;10321;67714;79995;98142;84475;66216;11270;38129
6;OCTOBER;86183;63548;2354;86332;17020;35913;71867;20710;66737;84685;16444;56360;56576;71463;700;84669;34892;25024;69770;82217;52416;Principal auxiliary;14858;60743;96686;70493;43235;57869;61842;66196;55769;72090;16023
7;MARCH;4559;26460;53025;26478;69291;39884;89373;30136;3793;87927;19312;11506;99391;36829;92653;63206;73468;61715;78950;84928;61256;Row;90448;12408;26979;5217;46660;99416;98873;3026;86188;68284;94951
8;AUGUST;90453;40781;83606;81445;8061;35042;27889;67415;19371;20697;94791;23711;50888;62465;12730;91023;10914;15132;19080;88895;67994;Kids calculate;72339;76230;20751;76277;2895;81435;56875;44596;48758;56054;9187
9;JULY;41585;42719;28256;14638;57675;88382;59062;21164;73598;60837;13874;99645;6769;90454;98353;50222;54626;11846;21896;22370;35757;Applications;7437;92804;59588;8660;18792;68532;17228;10410;82447;94495;65920
10;NOVEMBER;1666;74079;21958;46718;81882;17235;85115;53927;66287;91095;7900;10291;90892;32432;88309;73431;21484;24772;88555;96349;53690;Account Rubber;67160;56327;32137;33389;61566;72489;24840;43781;127;86215;40854
