id;certificate_status;reference_number;issue_date;reason;created_at;updated_at;generated_at;employee_id;created_by_id
1;GENERATED;panel;2022-10-24;Garden;2022-10-24T22:32:10;2022-10-24T22:10:15;2022-10-25T06:05:22;1;1
2;SENT_FOR_GENERATION;Borders leverage;2022-10-25;Buckinghamshire parsing;2022-10-25T00:53:20;2022-10-25T09:40:09;2022-10-24T10:24:01;2;2
3;GENERATED;Kip;2022-10-24;Sleek Rustic;2022-10-25T04:04:35;2022-10-24T13:58:46;2022-10-24T14:06:34;3;1
4;SENT_FOR_GENERATION;Account Missouri optimize;2022-10-25;Ireland bandwidth Bacon;2022-10-25T05:58:26;2022-10-24T22:49:23;2022-10-24T18:09:10;4;2
5;SENT_FOR_GENERATION;Security Soft;2022-10-24;back-end Accountability;2022-10-25T02:01:53;2022-10-25T08:43:30;2022-10-24T15:53:37;5;2
6;SENT_FOR_GENERATION;Car yellow;2022-10-25;overriding User-centric;2022-10-24T14:31:49;2022-10-24T23:49:35;2022-10-24T22:41:21;6;1
7;DOCUMENT_PROVIDED;productize override;2022-10-25;Plastic plug-and-play;2022-10-24T21:44:44;2022-10-25T07:44:18;2022-10-24T16:14:02;7;2
8;DOCUMENT_PROVIDED;Paradigm Investment override;2022-10-25;Poland maroon salmon;2022-10-25T05:56:52;2022-10-24T11:22:59;2022-10-25T05:13:29;8;1
9;REJECTED;deposit;2022-10-25;Missouri strategize;2022-10-24T22:25:11;2022-10-25T00:22:31;2022-10-24T19:48:50;9;2
10;REJECTED;Plastic incentivize USB;2022-10-25;reboot portals IB;2022-10-24T13:08:15;2022-10-24T18:28:17;2022-10-25T00:12:00;10;1
