id;reference_id;pin;event_type;effective_date;previous_main_gross_salary;current_main_gross_salary;previous_working_hour;changed_working_hour;is_modifiable
1;bypassing;Borders modular Savings;INCREMENT;2021-02-14;19877;10442;invoice Chips Belgium;enterprise;true
2;hard interface;South;JOIN;2021-02-15;786;66871;intuitive Factors program;Real;false
3;Generic seize;Open-source Missouri;RESIGNATION;2021-02-15;52040;82055;Vanuatu scale revolutionize;Towels Developer;true
4;deliverables;challenge;INCREMENT;2021-02-15;4574;54500;copying;XSS;true
5;moderator withdrawal;generate payment;TRANSFER;2021-02-15;53231;67944;Pants;circuit Operations;true
6;Hat;deposit Account;INCREMENT;2021-02-15;99275;34464;National;Kids;true
7;Personal up Industrial;Expanded AI clear-thinking;JOIN;2021-02-15;94747;69543;Compatible Australia;Armenia;true
8;Realigned moratorium Enhanced;software Beauty parse;INCREMENT;2021-02-15;26230;11735;synergize firewall Division;cross-platform Savings;true
9;District overriding;Rustic reintermediate;CONFIRM;2021-02-14;7041;87230;Specialist Avon synthesize;orchestrate Algerian;false
10;Loan red system;Clothing;INCREMENT;2021-02-14;69757;85656;support Progressive;invoice Steel Fresh;false
