id;title;festival_name;festival_date;bonus_disbursement_date;religion;is_pro_rata
1;Enhanced Fundamental;stable Rubber Sahara;2021-05-21;2021-05-21;OTHER;true
2;Ergonomic;Loan syndicate Vatu;2021-05-21;2021-05-21;OTHER;false
3;Account Helena Chips;Orchard;2021-05-21;2021-05-21;ISLAM;true
4;scalable;green;2021-05-21;2021-05-21;ALL;false
5;Creative Boliviano;cyan input Movies;2021-05-20;2021-05-21;OTHER;true
6;Account;Lebanon;2021-05-21;2021-05-21;CHRISTIAN;false
7;calculating embrace;Lights Chips;2021-05-21;2021-05-21;HINDU;false
8;Bike;Utah Streamlined;2021-05-21;2021-05-21;HINDU;false
9;New;Central;2021-05-21;2021-05-21;CHRISTIAN;false
10;Mozambique Metal;Frozen Uruguay gold;2021-05-21;2021-05-20;ALL;false
