id;bonus_amount;remarks;is_hold;basic;gross;employee_id;festival_id
1;36109;Land synthesize Marketing;true;4004;3325;1;1
2;90907;Direct Frozen calculating;true;70717;42094;2;2
3;95464;e-markets;false;87176;69683;3;3
4;68850;lavender Texas;false;11675;70592;4;4
5;87507;virtual Nepal XSS;false;3294;19953;5;5
6;30470;superstructure Auto;false;36012;27685;6;6
7;35904;SSL Designer invoice;true;62201;74249;7;7
8;97689;wireless Bypass Electronics;true;77350;62564;8;8
9;55262;channels Games;true;33297;69221;9;9
10;81192;Cotton quantifying navigating;true;16729;88404;10;10
