id;effective_date;in_time;out_time;employee_id;created_by_id
1;2022-03-07;2022-03-07T19:19:45;2022-03-08T06:22:07;1;1
2;2022-03-08;2022-03-07T13:49:57;2022-03-08T00:53:24;2;2
3;2022-03-08;2022-03-08T02:31:11;2022-03-07T22:34:16;3;2
4;2022-03-08;2022-03-07T14:44:11;2022-03-07T18:51:51;4;2
5;2022-03-07;2022-03-08T00:01:47;2022-03-07T20:30:06;5;1
6;2022-03-08;2022-03-08T07:58:30;2022-03-08T00:08:01;6;2
7;2022-03-08;2022-03-07T23:30:44;2022-03-07T17:57:16;7;1
8;2022-03-07;2022-03-08T08:46:22;2022-03-08T08:58:43;8;2
9;2022-03-07;2022-03-07T16:50:09;2022-03-07T20:19:21;9;1
10;2022-03-08;2022-03-07T23:27:34;2022-03-07T14:24:29;10;1
