id;effective_from;effective_to;reason;status;sanctioned_at;applied_at;created_at;updated_at;requester_id;created_by_id;time_slot_id
1;2022-08-22;2022-08-22;../fake-data/blob/hipster.txt;PENDING;2022-08-22T19:57:43;2022-08-23;2022-08-22T20:03:26;2022-08-23T07:29:53;1;1;1
2;2022-08-23;2022-08-22;../fake-data/blob/hipster.txt;PENDING;2022-08-23T03:24:05;2022-08-23;2022-08-22T23:06:13;2022-08-23T13:56:19;2;2;2
3;2022-08-23;2022-08-23;../fake-data/blob/hipster.txt;APPROVED;2022-08-23T11:14:40;2022-08-22;2022-08-23T02:36:16;2022-08-23T09:18:18;3;2;3
4;2022-08-23;2022-08-23;../fake-data/blob/hipster.txt;APPROVED;2022-08-22T19:53:33;2022-08-22;2022-08-23T11:32:58;2022-08-23T09:23:12;4;1;4
5;2022-08-23;2022-08-22;../fake-data/blob/hipster.txt;PENDING;2022-08-22T16:03:21;2022-08-23;2022-08-23T11:23:43;2022-08-22T16:38:51;5;1;5
6;2022-08-23;2022-08-22;../fake-data/blob/hipster.txt;PENDING;2022-08-23T05:35:05;2022-08-23;2022-08-22T15:37:01;2022-08-23T04:43:52;6;1;6
7;2022-08-23;2022-08-23;../fake-data/blob/hipster.txt;APPROVED;2022-08-23T13:12:47;2022-08-23;2022-08-22T21:42:12;2022-08-23T02:15:11;7;2;7
8;2022-08-23;2022-08-23;../fake-data/blob/hipster.txt;NOT_APPROVED;2022-08-23T08:38:56;2022-08-22;2022-08-22T16:28:54;2022-08-23T10:44:45;8;1;8
9;2022-08-23;2022-08-22;../fake-data/blob/hipster.txt;PENDING;2022-08-22T16:31:29;2022-08-23;2022-08-23T06:48:06;2022-08-23T08:24:20;9;2;9
10;2022-08-23;2022-08-22;../fake-data/blob/hipster.txt;PENDING;2022-08-23T08:46:23;2022-08-23;2022-08-22T15:27:35;2022-08-22T18:41:03;10;1;10
