id;floor_name;remarks;created_at;updated_at
1;Berkshire Libyan EXE;Licensed;2022-06-06T01:00:12;2022-06-06T11:41:07
2;silver;FTP Virtual benchmark;2022-06-06T10:16:40;2022-06-05T19:01:44
3;EXE withdrawal Refined;override benchmark leverage;2022-06-06T03:43:46;2022-06-05T14:39:56
4;Executive Land plum;card;2022-06-05T13:14:38;2022-06-06T03:30:20
5;online;Franc mobile Plastic;2022-06-05T15:11:15;2022-06-05T17:49:31
6;interactive AI;deposit Rustic open-source;2022-06-05T21:16:01;2022-06-06T07:07:47
7;Bike PNG;Keyboard;2022-06-06T11:12:04;2022-06-06T01:54:01
8;Chief;e-business integrate e-business;2022-06-05T12:46:04;2022-06-06T07:14:52
9;index bandwidth-monitored;out-of-the-box;2022-06-06T07:48:15;2022-06-05T21:00:33
10;bricks-and-clicks Points;Public-key gold generating;2022-06-05T22:53:11;2022-06-05T13:05:08
