id;holiday_type;description;start_date;end_date;is_moon_dependent
1;Weekly;hack Serbia Samoa;2021-03-01;2021-02-28;true
2;Other;RSS;2021-03-01;2021-02-28;true
3;Govt;Central Investor;2021-02-28;2021-02-28;true
4;Weekly;Beauty maroon Fresh;2021-02-28;2021-02-28;false
5;Govt;Loan Bedfordshire edge;2021-02-28;2021-02-28;false
6;Weekly;target Loan monetize;2021-02-28;2021-02-28;true
7;Weekly;Indiana protocol Identity;2021-03-01;2021-02-28;false
8;Govt;wireless Organized;2021-03-01;2021-03-01;false
9;Govt;bus Macedonia;2021-02-28;2021-02-28;true
10;Weekly;eyeballs;2021-02-28;2021-03-01;true
