id;challan_no;challan_date;amount;month;year;remarks
1;paradigm User-centric wireless;2022-05-19;59684;NOVEMBER;2131;Gorgeous
2;National compelling;2022-05-18;44480;JULY;2053;Investment cyan Administrator
3;iterate Implemented green;2022-05-19;59595;MAY;1991;Customer Officer Oman
4;alarm deploy;2022-05-19;79515;JANUARY;2032;Account
5;Rubber Frozen Rustic;2022-05-19;2497;SEPTEMBER;2179;California
6;Games framework;2022-05-18;91300;OCTOBER;2155;Handmade
7;RSS;2022-05-18;1074;DECEMBER;2034;copying
8;Liaison;2022-05-19;1895;MAY;2197;SMTP Health orange
9;Shoes Soap SMTP;2022-05-18;89525;MARCH;2145;online Industrial
10;contextually-based Forward;2022-05-18;52716;JANUARY;2125;multi-byte
