id;effective_date;existing_band;new_band;existing_gross;new_gross;increment;arrear_salary;arrear_pf_deduction;tax_deduction;net_pay;pf_contribution;title;title_effective_from;arrear_remarks;festival_bonus
1;2022-03-12;Swaziland Avon application;Radial;65191;62515;18709;90350;66971;77831;19790;78362;infrastructure deposit;Tuna turquoise EXE;Plastic Incredible;67167
2;2022-03-13;benchmark Hat;holistic;33925;70889;82248;26589;99275;23721;3393;40272;regional Applications tan;Bedfordshire;iterate;48164
3;2022-03-12;tangible Architect auxiliary;Direct Avon;4443;80582;56478;9370;26800;32517;79722;34827;Cheese generating;Grocery robust;Cotton;89828
4;2022-03-12;Ergonomic Bedfordshire Small;Administrator;86340;7418;85502;4097;5396;6694;62597;42983;JSON compelling Team-oriented;synthesizing;Berkshire withdrawal matrix;82291
5;2022-03-13;bypass;visionary;35530;467;54692;65714;38410;94962;37637;45703;online multi-state Wells;Metal Arabia;Maryland;17627
6;2022-03-12;back-end transmit;Cambridgeshire;714;17432;23481;50252;84594;22644;10857;76836;application;transitional withdrawal Haiti;pixel;73928
7;2022-03-13;moderator connecting up;Bike withdrawal SAS;19287;37644;2391;66872;24252;75098;22916;37244;composite Rubber copying;override;Islands leverage Pants;1004
8;2022-03-12;bypass 24/365 harness;Iraq ubiquitous;73068;92196;81004;77836;12512;9562;61123;29548;parsing Concrete;Korea up Facilitator;CFA quantify;26962
9;2022-03-12;exuding discrete;Dinar;18644;18465;97910;97054;59396;5989;64532;82031;Moroccan EXE Rubber;haptic Solutions Consultant;Quality Response Refined;98567
10;2022-03-12;projection;reinvent sensor;87785;43635;2731;63777;89012;74045;68497;24890;Metal;turquoise;Dynamic;27434
