id;location_type;location_name;has_parent;is_last_child;created_at;update_at;created_by_id;updated_by_id;location_code
1;BUILDING;haptic calculate;true;false;2023-11-07T18:01:55;2023-11-07T21:08:58;32659;3559;magnetic
2;BUILDING;installation e-enable feed;true;true;2023-11-07T10:43:23;2023-11-08T06:52:26;91454;91167;Sports Falkland Islands (Malvinas) cross-platform
3;FLOOR;District;true;false;2023-11-08T04:37:43;2023-11-07T16:05:29;98091;94713;Rustic
4;FLOOR;Concrete leading-edge;false;true;2023-11-07T13:16:28;2023-11-07T20:17:52;14430;22612;Northern Mariana Islands
5;FLOOR;auxiliary parsing generate;true;true;2023-11-07T19:27:35;2023-11-08T07:18:53;30459;5602;transmitting
6;BUILDING;Monaco Exclusive Incredible Fresh Keyboard;true;false;2023-11-07T11:02:04;2023-11-07T21:02:19;964;52721;solutions
7;FLOOR;mobile;false;true;2023-11-07T23:40:10;2023-11-07T17:48:44;53704;55331;deposit synthesize
8;FLOOR;Cambridgeshire pixel Jewelery;false;false;2023-11-07T21:18:18;2023-11-07T23:05:52;82238;80010;Licensed Granite Shirt Fresh
9;FLOOR;Assurance infrastructures;false;false;2023-11-08T07:22:47;2023-11-08T03:10:40;42465;98779;bandwidth CSS Nicaragua
10;FLOOR;payment;false;true;2023-11-07T18:40:21;2023-11-07T20:07:31;36947;11901;generating holistic Colorado
