id;date;in_time;in_note;out_time;out_note;is_line_manager_approved;is_hr_approved;is_rejected;rejection_comment;note
1;2021-06-30;2021-07-01T00:42:35;neural sensor portals;2021-07-01T04:09:14;Account;false;false;true;Checking open-source Andorra;Applications
2;2021-07-01;2021-06-30T08:34:50;back Mobility Towels;2021-06-30T09:24:49;Cambridgeshire BEAC;true;false;true;Bedfordshire target;Borders
3;2021-06-30;2021-06-30T05:58:49;Rhode synergistic Future;2021-06-30T17:37:18;partnerships Assistant payment;false;false;false;Ports Chair;Bike e-tailers
4;2021-06-30;2021-06-30T09:33:36;Automated;2021-06-30T14:08:45;software;false;false;true;Fish Mobility bypass;Generic Forward Senior
5;2021-06-30;2021-06-30T15:30:20;Toys Michigan;2021-06-30T17:25:15;mobile;true;false;true;hacking input Awesome;Fish
6;2021-06-30;2021-06-30T21:53:27;Israel;2021-06-30T12:58:26;Organic Avon functionalities;true;false;false;Ergonomic;Home
7;2021-06-30;2021-06-30T06:32:58;Dram convergence Electronics;2021-06-30T16:52:57;primary Assistant Games;true;false;false;hacking Chad Nevada;Tasty Mission
8;2021-06-30;2021-06-30T14:02:56;Somali Industrial Dollar;2021-06-30T14:10:45;hard District redundant;false;false;true;wireless;Regional New Locks
9;2021-06-30;2021-06-30T22:20:31;harness gold Group;2021-07-01T00:23:24;Consultant Bacon Facilitator;true;true;false;bleeding-edge hack Regional;Lead calculate
10;2021-06-30;2021-06-30T13:24:59;generating Borders Response;2021-06-30T06:49:36;Buckinghamshire;false;false;true;protocol;generation Associate integrate
