id;start_date;start_time;start_note;end_date;end_time;end_note;type;status;created_at;updated_at;sanction_at;note;employee_id;created_by_id
1;2022-01-26;2022-01-27T05:19:20;Computers networks Factors;2022-01-27;2022-01-26T18:20:31;Colorado SMS;MOVEMENT;APPROVED;2022-01-26;2022-01-27;2022-01-26;auxiliary Ergonomic channels;1;1
2;2022-01-27;2022-01-27T06:33:24;Cross-group;2022-01-26;2022-01-27T02:05:25;salmon Designer;MOVEMENT;APPROVED;2022-01-26;2022-01-27;2022-01-26;Concrete withdrawal complexity;2;2
3;2022-01-26;2022-01-27T06:37:44;calculating Phased Principal;2022-01-26;2022-01-27T00:23:38;wireless drive;MOVEMENT;PENDING;2022-01-27;2022-01-26;2022-01-27;back architectures cross-platform;3;2
4;2022-01-26;2022-01-26T18:30:47;orchestrate Corners;2022-01-26;2022-01-26T21:43:17;Expressway;MOVEMENT;NOT_APPROVED;2022-01-27;2022-01-26;2022-01-26;Mission benchmark Incredible;4;1
5;2022-01-26;2022-01-26T21:08:14;core auxiliary;2022-01-27;2022-01-26T21:35:09;matrix;MOVEMENT;APPROVED;2022-01-26;2022-01-27;2022-01-26;Indiana Northern;5;2
6;2022-01-27;2022-01-27T00:14:48;scalable;2022-01-27;2022-01-26T21:22:40;e-tailers;MOVEMENT;APPROVED;2022-01-27;2022-01-26;2022-01-26;Towels withdrawal;6;1
7;2022-01-26;2022-01-26T22:38:56;intranet;2022-01-26;2022-01-26T10:48:41;real-time Garden;MOVEMENT;PENDING;2022-01-27;2022-01-27;2022-01-26;bandwidth;7;2
8;2022-01-27;2022-01-27T02:01:24;THX Steel;2022-01-27;2022-01-26T15:16:34;Concrete Forward deposit;MOVEMENT;PENDING;2022-01-27;2022-01-27;2022-01-26;auxiliary Berkshire Liaison;8;1
9;2022-01-26;2022-01-26T19:04:00;Euro;2022-01-26;2022-01-26T10:49:45;Plastic Unbranded;MOVEMENT;NOT_APPROVED;2022-01-26;2022-01-27;2022-01-27;real-time;9;2
10;2022-01-26;2022-01-26T19:16:19;Cotton;2022-01-27;2022-01-27T01:53:26;Kentucky ivory;MOVEMENT;PENDING;2022-01-27;2022-01-27;2022-01-26;Metal;10;1
