id;title;description;status;publish_form;publish_to;created_at;updated_at;created_by;updated_by
1;deposit Plains overriding;../fake-data/blob/hipster.txt;PUBLISHED;2021-07-07;2021-07-07;2021-07-07;2021-07-07;metrics teal;Place Agent Throughway
2;cross-platform Refined Generic;../fake-data/blob/hipster.txt;DRAFT;2021-07-08;2021-07-08;2021-07-07;2021-07-07;Adaptive Ball;Checking
3;ivory auxiliary index;../fake-data/blob/hipster.txt;UNPUBLISHED;2021-07-08;2021-07-08;2021-07-07;2021-07-07;Brand Cotton;Future embrace
4;deposit;../fake-data/blob/hipster.txt;DRAFT;2021-07-07;2021-07-08;2021-07-07;2021-07-07;real-time Cotton Concrete;Loan
5;concept;../fake-data/blob/hipster.txt;DRAFT;2021-07-07;2021-07-08;2021-07-08;2021-07-08;impactful;withdrawal
6;Savings feed programming;../fake-data/blob/hipster.txt;UNPUBLISHED;2021-07-08;2021-07-07;2021-07-08;2021-07-08;Colombian repurpose sticky;Clothing Norwegian
7;Principal;../fake-data/blob/hipster.txt;UNPUBLISHED;2021-07-08;2021-07-08;2021-07-08;2021-07-08;Virginia;Papua cyan
8;synthesizing static;../fake-data/blob/hipster.txt;PUBLISHED;2021-07-07;2021-07-07;2021-07-08;2021-07-07;synthesizing Sri XSS;Mouse SCSI Dinar
9;Rubber Electronics;../fake-data/blob/hipster.txt;UNPUBLISHED;2021-07-07;2021-07-08;2021-07-08;2021-07-08;Future Account;killer killer
10;PCI transmitter Rustic;../fake-data/blob/hipster.txt;PUBLISHED;2021-07-08;2021-07-07;2021-07-08;2021-07-08;program Loan transmit;SMTP Grass-roots Small
