id;employee_contribution;employer_contribution;transaction_date;year;month;collection_type;employee_interest;employer_interest;gross;basic
1;37917;27393;2021-04-17;96038;5439;OPENING_BALANCE;285536;4563167;6468552;7744325
2;10373;25;2021-04-17;39582;50163;CASH;4013088;2727928;8407146;8833942
3;53129;77443;2021-04-18;99896;16104;OPENING_BALANCE;1209864;5779077;8828610;8157646
4;98114;43740;2021-04-17;94122;87846;OPENING_BALANCE;6102944;6576120;4981666;4487475
5;99797;68704;2021-04-17;34785;38994;CASH;8892167;7429400;7912106;4048005
6;96392;13835;2021-04-17;13322;72366;ADVANCE;5615403;9563283;2232838;1684030
7;34432;47047;2021-04-17;52910;19427;OPENING_BALANCE;9624647;2331122;3173032;6814194
8;98003;46612;2021-04-17;36114;96372;OPENING_BALANCE;8327432;2938085;919142;3236096
9;24184;61501;2021-04-17;86256;12898;ARREAR;764702;7604259;9786003;2444889
10;52481;95551;2021-04-17;41123;37331;CASH;1495041;2251372;5646606;4433082
