id;requisition_no;requested_date;is_cto_approval_required;requisition_status;expected_received_date;reasoning;total_approximate_price;recommendation_at_01;recommendation_at_02;recommendation_at_03;recommendation_at_04;recommendation_at_05;next_recommendation_order;rejected_date;rejection_reason;closed_at;created_at;updated_at;department_id;requested_by_id;created_by_id
1;Borders Account;2023-01-17;false;CLOSED;2023-01-18;../fake-data/blob/hipster.txt;99622;2023-01-18T02:48:36;2023-01-18T00:48:54;2023-01-17T09:44:20;2023-01-17T07:28:08;2023-01-18T04:35:50;5637;2023-01-17;../fake-data/blob/hipster.txt;2023-01-17T19:42:53;2023-01-18T04:50:42;2023-01-18T01:00:11;1;1;1
2;connecting;2023-01-18;false;IN_PROGRESS;2023-01-17;../fake-data/blob/hipster.txt;94423;2023-01-17T15:15:11;2023-01-17T08:01:20;2023-01-17T18:36:10;2023-01-17T13:49:49;2023-01-18T02:59:31;3042;2023-01-18;../fake-data/blob/hipster.txt;2023-01-17T13:05:18;2023-01-17T21:14:46;2023-01-18T02:13:12;2;2;2
3;Shirt Garden Prairie;2023-01-17;false;IN_PROGRESS;2023-01-17;../fake-data/blob/hipster.txt;25281;2023-01-17T09:28:50;2023-01-17T08:05:56;2023-01-17T13:51:08;2023-01-17T07:53:05;2023-01-18T01:39:56;86775;2023-01-17;../fake-data/blob/hipster.txt;2023-01-17T10:01:41;2023-01-18T04:21:26;2023-01-18T02:34:33;3;3;1
4;Bike;2023-01-18;true;CLOSED;2023-01-17;../fake-data/blob/hipster.txt;87395;2023-01-17T08:43:32;2023-01-18T04:13:17;2023-01-18T06:09:44;2023-01-17T17:44:39;2023-01-17T07:57:17;68509;2023-01-18;../fake-data/blob/hipster.txt;2023-01-18T04:35:22;2023-01-17T12:18:33;2023-01-17T22:28:02;4;4;1
5;transmit Spring Soft;2023-01-18;false;CLOSED;2023-01-18;../fake-data/blob/hipster.txt;54194;2023-01-18T04:20:47;2023-01-17T08:00:46;2023-01-17T11:50:23;2023-01-18T03:36:40;2023-01-17T11:19:32;82156;2023-01-17;../fake-data/blob/hipster.txt;2023-01-17T23:58:24;2023-01-17T07:24:52;2023-01-17T08:08:29;5;5;1
6;Cotton;2023-01-17;true;OPEN;2023-01-17;../fake-data/blob/hipster.txt;33384;2023-01-17T22:07:33;2023-01-17T22:20:51;2023-01-17T08:14:54;2023-01-17T07:13:18;2023-01-17T14:04:51;68684;2023-01-17;../fake-data/blob/hipster.txt;2023-01-17T15:09:54;2023-01-17T18:51:11;2023-01-17T19:57:23;6;6;2
7;navigate optimal;2023-01-17;true;PENDING;2023-01-17;../fake-data/blob/hipster.txt;71836;2023-01-17T07:05:00;2023-01-18T03:39:54;2023-01-18T05:34:09;2023-01-17T18:03:19;2023-01-17T15:13:15;72489;2023-01-18;../fake-data/blob/hipster.txt;2023-01-17T13:12:32;2023-01-17T09:40:42;2023-01-17T22:58:41;7;7;1
8;end-to-end;2023-01-17;false;CLOSED;2023-01-18;../fake-data/blob/hipster.txt;61191;2023-01-17T12:48:50;2023-01-17T12:49:03;2023-01-18T02:04:34;2023-01-18T03:15:37;2023-01-18T02:19:48;39364;2023-01-18;../fake-data/blob/hipster.txt;2023-01-17T07:31:39;2023-01-17T15:39:22;2023-01-18T06:55:50;8;8;2
9;Avon;2023-01-17;false;CLOSED;2023-01-17;../fake-data/blob/hipster.txt;76659;2023-01-18T04:20:10;2023-01-17T22:22:03;2023-01-18T05:47:06;2023-01-18T01:22:15;2023-01-17T21:17:19;23809;2023-01-18;../fake-data/blob/hipster.txt;2023-01-18T06:40:16;2023-01-17T17:01:04;2023-01-17T11:41:17;9;9;1
10;Internal;2023-01-17;false;IN_PROGRESS;2023-01-17;../fake-data/blob/hipster.txt;67357;2023-01-18T04:56:42;2023-01-17T10:30:08;2023-01-18T06:14:55;2023-01-17T23:03:50;2023-01-18T00:57:36;42659;2023-01-17;../fake-data/blob/hipster.txt;2023-01-18T02:49:48;2023-01-17T19:39:42;2023-01-17T20:30:38;10;10;2
