id;status;booking_trn;created_at;updated_at;sanctioned_at;participant_list;rejected_reason;booking_start_date;booking_end_date;start_time;end_time;title;agenda;optional_participant_list;is_full_day
1;PENDING;Engineer Forges Berkshire;2022-06-07T15:27:52;2022-06-08T06:53:09;2022-06-08T00:04:44;../fake-data/blob/hipster.txt;PCI;2022-06-08;2022-06-08;80;43;bypass projection;Avon hard Manor;../fake-data/blob/hipster.txt;true
2;NOT_APPROVED;state;2022-06-08T06:13:52;2022-06-08T06:20:42;2022-06-07T22:55:03;../fake-data/blob/hipster.txt;Oregon initiative Mauritania;2022-06-08;2022-06-07;74;10;Ergonomic haptic Corporate;Pants;../fake-data/blob/hipster.txt;false
3;PENDING;XML Triple-buffered;2022-06-08T00:50:06;2022-06-08T05:08:06;2022-06-07T22:12:57;../fake-data/blob/hipster.txt;Oklahoma virtual;2022-06-08;2022-06-08;2;80;connecting optical Consultant;facilitate;../fake-data/blob/hipster.txt;false
4;NOT_APPROVED;communities payment;2022-06-08T01:14:44;2022-06-08T08:11:04;2022-06-08T00:37:36;../fake-data/blob/hipster.txt;Seamless index;2022-06-08;2022-06-08;66;12;calculate Pants administration;Designer;../fake-data/blob/hipster.txt;true
5;APPROVED;payment Square;2022-06-08T08:59:54;2022-06-08T09:04:46;2022-06-07T16:17:45;../fake-data/blob/hipster.txt;Applications visualize;2022-06-07;2022-06-07;85;82;Response;Handmade Handcrafted portal;../fake-data/blob/hipster.txt;true
6;APPROVED;Home Steel;2022-06-07T15:59:16;2022-06-07T19:33:51;2022-06-08T02:08:16;../fake-data/blob/hipster.txt;Fish;2022-06-08;2022-06-07;74;87;turquoise radical;Trafficway mission-critical;../fake-data/blob/hipster.txt;true
7;PENDING;Buckinghamshire SDD Health;2022-06-07T11:46:02;2022-06-08T03:43:23;2022-06-07T21:25:07;../fake-data/blob/hipster.txt;project;2022-06-07;2022-06-07;48;25;withdrawal Legacy Investment;Auto Kingdom;../fake-data/blob/hipster.txt;false
8;PENDING;auxiliary bypass;2022-06-08T00:21:09;2022-06-08T08:34:26;2022-06-07T20:15:28;../fake-data/blob/hipster.txt;Borders Cheese Jewelery;2022-06-08;2022-06-08;100;29;red Implementation Canada;Croatian;../fake-data/blob/hipster.txt;false
9;NOT_APPROVED;deploy Investment 1080p;2022-06-07T12:25:15;2022-06-08T07:56:51;2022-06-07T16:46:22;../fake-data/blob/hipster.txt;Loan Digitized Oval;2022-06-07;2022-06-07;79;8;Coordinator matrix;static Persevering TCP;../fake-data/blob/hipster.txt;true
10;NOT_APPROVED;reboot Sao Plastic;2022-06-07T23:38:33;2022-06-07T17:23:47;2022-06-07T11:13:18;../fake-data/blob/hipster.txt;invoice Program Yemen;2022-06-07;2022-06-08;30;1;azure HDD;Metal Jersey Dynamic;../fake-data/blob/hipster.txt;false
