id;type_name;remarks;created_at;updated_at
1;Guyana Streamlined Generic;AI Connecticut;2022-06-05T05:46:42;2022-06-05T07:07:09
2;auxiliary Reactive navigate;Refined Somalia;2022-06-05T05:19:45;2022-06-05T08:03:06
3;cross-media Valley;Buckinghamshire;2022-06-05T01:43:55;2022-06-04T16:46:37
4;1080p asynchronous;Chair;2022-06-05T15:09:09;2022-06-04T18:14:54
5;Jewelery Berkshire yellow;Identity Small Account;2022-06-04T16:34:17;2022-06-04T23:07:18
6;Kwanza;networks application;2022-06-04T15:49:19;2022-06-05T05:10:07
7;Account HDD Mauritius;Skyway;2022-06-04T16:22:56;2022-06-05T09:07:38
8;Bedfordshire tan Representative;District;2022-06-05T03:54:11;2022-06-05T08:01:05
9;Caribbean Ergonomic digital;invoice;2022-06-05T04:17:41;2022-06-04T18:38:55
10;Dynamic navigate;synthesize Wooden Savings;2022-06-04T23:21:20;2022-06-05T02:15:11
