id;title;in_time;out_time;is_applicable_by_employee;is_default_shift;code;week_ends
1;wireless Pizza Kentucky;2022-05-12T11:26:40;2022-05-11T16:07:44;false;false;Pizza Fords;../fake-data/blob/hipster.txt
2;convergence;2022-05-11T22:14:30;2022-05-12T09:04:05;false;true;Islands;../fake-data/blob/hipster.txt
3;Bahrain;2022-05-12T04:48:26;2022-05-11T15:19:58;false;true;mobile models;../fake-data/blob/hipster.txt
4;Berkshire;2022-05-12T13:39:15;2022-05-11T22:11:45;false;true;metrics Intelligent;../fake-data/blob/hipster.txt
5;Generic;2022-05-11T16:21:33;2022-05-11T17:36:47;false;false;utilize disintermediate Tuna;../fake-data/blob/hipster.txt
6;neural-net optical;2022-05-12T03:01:39;2022-05-11T14:48:39;true;false;Bedfordshire;../fake-data/blob/hipster.txt
7;Denmark;2022-05-11T18:34:20;2022-05-12T05:53:34;true;false;red Rubber Buckinghamshire;../fake-data/blob/hipster.txt
8;Reactive;2022-05-12T09:05:22;2022-05-12T05:18:30;false;false;Wall;../fake-data/blob/hipster.txt
9;Pizza;2022-05-12T10:48:54;2022-05-11T15:38:52;false;true;wireless;../fake-data/blob/hipster.txt
10;vortals transmitter Gorgeous;2022-05-12T02:35:23;2022-05-11T17:21:30;true;false;Avon Producer drive;../fake-data/blob/hipster.txt
