id;training_name;coordinated_by;date_of_completion
1;capacitor deposit Cambridgeshire;back-end Grass-roots Frozen;2021-02-15
2;Tennessee;Wisconsin;2021-02-14
3;index Bike;Plastic Group Soap;2021-02-14
4;Roads synergize open-source;tan purple;2021-02-14
5;Dollar encompassing;Expanded;2021-02-15
6;Corporate;encryption solid Alaska;2021-02-14
7;Spain;quantifying program;2021-02-15
8;disintermediate Cotton Wooden;fuchsia;2021-02-14
9;Chair;Ecuador info-mediaries Pizza;2021-02-15
10;applications;Montserrat haptic Frozen;2021-02-15
