id;name;remarks;created_at;updated_at;created_by_id
1;Licensed and purple;transition Operations;2023-01-18T03:44:35;2023-01-17T05:50:25;1
2;XML Tools Franc;leading;2023-01-18T00:41:48;2023-01-17T22:44:23;2
3;Direct Bike interface;parsing withdrawal;2023-01-17T12:51:38;2023-01-17T06:10:52;1
4;copying Gibraltar;Islands monetize Director;2023-01-17T16:59:26;2023-01-17T12:23:55;2
5;intranet driver matrix;Senior;2023-01-17T21:01:32;2023-01-17T22:24:03;2
6;eyeballs;Supervisor;2023-01-17T21:48:47;2023-01-17T16:37:17;1
7;area;withdrawal Chicken Tasty;2023-01-18T03:23:10;2023-01-17T19:41:00;1
8;architectures Loan;1080p navigating applications;2023-01-17T12:57:00;2023-01-17T19:55:39;1
9;Divide;Generic;2023-01-17T22:04:55;2023-01-17T18:21:16;2
10;International Granite;multi-byte Kids Curve;2023-01-17T16:15:16;2023-01-18T00:53:03;1
