id;start_date;end_date;reason;duration;status;applied_at;updated_at;created_at;sanctioned_at;employee_id
1;2022-08-08;2022-08-08;compressing policy;21323;NOT_APPROVED;2022-08-09;2022-08-09T03:12:30;2022-08-09T01:45:30;2022-08-09T03:07:22;1
2;2022-08-08;2022-08-09;Bedfordshire Administrator Web;39135;PENDING;2022-08-08;2022-08-09T04:40:48;2022-08-08T17:12:20;2022-08-08T10:55:02;2
3;2022-08-08;2022-08-08;Buckinghamshire reboot;63940;APPROVED;2022-08-08;2022-08-08T07:05:53;2022-08-08T17:28:56;2022-08-08T23:31:13;3
4;2022-08-08;2022-08-08;Coordinator Unbranded;86277;NOT_APPROVED;2022-08-09;2022-08-09T02:31:24;2022-08-08T21:22:56;2022-08-08T15:32:10;4
5;2022-08-09;2022-08-08;Music Unbranded;4558;APPROVED;2022-08-08;2022-08-08T15:43:50;2022-08-08T10:05:18;2022-08-08T14:30:17;5
6;2022-08-08;2022-08-08;up;45411;APPROVED;2022-08-08;2022-08-08T16:43:55;2022-08-09T05:40:24;2022-08-08T15:03:25;6
7;2022-08-08;2022-08-09;Montana COM payment;45035;PENDING;2022-08-09;2022-08-08T20:14:28;2022-08-09T02:38:18;2022-08-08T18:55:55;7
8;2022-08-08;2022-08-09;withdrawal;70916;NOT_APPROVED;2022-08-08;2022-08-08T08:57:24;2022-08-08T18:19:01;2022-08-08T19:50:58;8
9;2022-08-09;2022-08-08;Gloves Iowa Administrator;81211;NOT_APPROVED;2022-08-08;2022-08-09T00:55:04;2022-08-08T22:50:49;2022-08-08T15:04:36;9
10;2022-08-08;2022-08-08;e-markets Steel USB;53409;NOT_APPROVED;2022-08-08;2022-08-09T02:28:47;2022-08-08T22:47:02;2022-08-08T17:19:36;10
