id;last_designation;organization_name;doj_of_last_organization;dor_of_last_organization
1;Samoa monitoring Toys;Representative invoice invoice;2021-02-15;2021-02-15
2;Multi-tiered;1080p functionalities Future;2021-02-15;2021-02-14
3;indexing Handmade deposit;Avon Account;2021-02-14;2021-02-15
4;encoding embrace compressing;monitor Car;2021-02-15;2021-02-14
5;blue;Electronics;2021-02-14;2021-02-14
6;firewall;program;2021-02-14;2021-02-15
7;empowering calculate;killer;2021-02-15;2021-02-15
8;Gorgeous;Handcrafted Table;2021-02-14;2021-02-14
9;Guinea Slovenia;Account Profound;2021-02-14;2021-02-14
10;frictionless;Industrial online;2021-02-14;2021-02-14
